# prefix,country_code,region_code,city,postal
2a0e:b107:1f50::/44,HK,,Hong Kong,
2a06:a005:2f10::/44,TW,TW-TPE,Taipei,
2a06:a005:2fa0::/44,SG,,Singapore,
2a13:b487:1800::/48,GB,GB-LND,London,
2a13:b487:1801::/48,AR,,,
2a13:b487:1802::/48,DE,,,
2a13:b487:1803::/48,AQ,,,
2a13:b487:1804::/48,VA,,,
2a05:1081:1000::/44,AU,,,
2a13:b487:1805::/48,MO,,,
2a13:b487:1806::/48,MY,,,
2a13:b487:1807::/48,PH,,,
2a13:b487:1808::/48,VN,,,
2a13:b487:1809::/48,FR,,,
2a13:b487:1810::/48,NL,,,
2a13:b487:1811::/48,ID,,,
2a13:b487:1812::/48,EG,,,
2a13:b487:1813::/48,KR,,,
2a05:1081:1010::/44,JP,,,
2a13:b487:18ff:1000::/64,KP,,,
2a13:b487:18ff:1001::/64,VI,,,
2a05:1081:1030::/44,KR,,,
